Id,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
16,<0,24,existing_paid,radio/tv,1282,100<=X<500,1<=X<4,4,female_div/dep/mar,none,2,car,32,none,own,1,unskilled_resident,1,none,yes,bad
17,no_checking,24,critical/other_existing_credit,radio/tv,2424,no_known_savings,>=7,4,male_single,none,4,life_insurance,53,none,own,2,skilled,1,none,yes,good
18,<0,30,no_credits/all_paid,business,8072,no_known_savings,<1,2,male_single,none,3,car,25,bank,own,3,skilled,1,none,yes,good
19,0<=X<200,24,existing_paid,used_car,12579,<100,>=7,4,female_div/dep/mar,none,2,no_known_property,44,none,for_free,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
20,no_checking,24,existing_paid,radio/tv,3430,500<=X<1000,>=7,3,male_single,none,2,car,31,none,own,1,skilled,2,yes,yes,good
21,no_checking,9,critical/other_existing_credit,new_car,2134,<100,1<=X<4,4,male_single,none,4,car,48,none,own,3,skilled,1,yes,yes,good
22,<0,6,existing_paid,radio/tv,2647,500<=X<1000,1<=X<4,2,male_single,none,3,real_estate,44,none,rent,1,skilled,2,none,yes,good
23,<0,10,critical/other_existing_credit,new_car,2241,<100,<1,1,male_single,none,3,real_estate,48,none,rent,2,unskilled_resident,2,none,no,good
24,0<=X<200,12,critical/other_existing_credit,used_car,1804,100<=X<500,<1,3,male_single,none,4,life_insurance,44,none,own,1,skilled,1,none,yes,good
25,no_checking,10,critical/other_existing_credit,furniture/equipment,2069,no_known_savings,1<=X<4,2,male_mar/wid,none,1,car,26,none,own,2,skilled,1,none,no,good
26,<0,6,existing_paid,furniture/equipment,1374,<100,1<=X<4,1,male_single,none,2,real_estate,36,bank,own,1,unskilled_resident,1,yes,yes,good
27,no_checking,6,no_credits/all_paid,radio/tv,426,<100,>=7,4,male_mar/wid,none,4,car,39,none,own,1,unskilled_resident,1,none,yes,good
28,>=200,12,all_paid,radio/tv,409,>=1000,1<=X<4,3,female_div/dep/mar,none,3,real_estate,42,none,rent,2,skilled,1,none,yes,good
29,0<=X<200,7,existing_paid,radio/tv,2415,<100,1<=X<4,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled,1,none,yes,good
30,<0,60,delayed_previously,business,6836,<100,>=7,3,male_single,none,4,no_known_property,63,none,own,2,skilled,1,yes,yes,bad
31,0<=X<200,18,existing_paid,business,1913,>=1000,<1,3,male_mar/wid,none,3,real_estate,36,bank,own,1,skilled,1,yes,yes,good
32,<0,24,existing_paid,furniture/equipment,4020,<100,1<=X<4,2,male_single,none,2,car,27,stores,own,1,skilled,1,none,yes,good
33,0<=X<200,18,existing_paid,new_car,5866,100<=X<500,1<=X<4,2,male_single,none,2,car,30,none,own,2,skilled,1,yes,yes,good
34,no_checking,12,critical/other_existing_credit,business,1264,no_known_savings,>=7,4,male_single,none,4,no_known_property,57,none,rent,1,unskilled_resident,1,none,yes,good
35,>=200,12,existing_paid,furniture/equipment,1474,<100,<1,4,female_div/dep/mar,none,1,life_insurance,33,bank,own,1,high_qualif/self_emp/mgmt,1,yes,yes,good
36,0<=X<200,45,critical/other_existing_credit,radio/tv,4746,<100,<1,4,male_single,none,2,life_insurance,25,none,own,2,unskilled_resident,1,none,yes,bad
37,no_checking,48,critical/other_existing_credit,education,6110,<100,1<=X<4,1,male_single,none,3,no_known_property,31,bank,for_free,1,skilled,1,yes,yes,good
38,>=200,18,existing_paid,radio/tv,2100,<100,1<=X<4,4,male_single,co_applicant,2,real_estate,37,stores,own,1,skilled,1,none,yes,bad
39,>=200,10,existing_paid,domestic_appliance,1225,<100,1<=X<4,2,male_single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
40,0<=X<200,9,existing_paid,radio/tv,458,<100,1<=X<4,4,male_single,none,3,real_estate,24,none,own,1,skilled,1,none,yes,good
41,no_checking,30,existing_paid,radio/tv,2333,500<=X<1000,>=7,4,male_single,none,2,car,30,bank,own,1,high_qualif/self_emp/mgmt,1,none,yes,good
42,0<=X<200,12,existing_paid,radio/tv,1158,500<=X<1000,1<=X<4,3,male_div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,good
43,0<=X<200,18,delayed_previously,repairs,6204,<100,1<=X<4,2,male_single,none,4,real_estate,44,none,own,1,unskilled_resident,2,yes,yes,good
44,<0,30,critical/other_existing_credit,used_car,6187,100<=X<500,4<=X<7,1,male_mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,good
45,<0,48,critical/other_existing_credit,used_car,6143,<100,>=7,4,female_div/dep/mar,none,4,no_known_property,58,stores,for_free,2,unskilled_resident,1,none,yes,bad
46,no_checking,11,critical/other_existing_credit,new_car,1393,<100,<1,4,female_div/dep/mar,none,4,car,35,none,own,2,high_qualif/self_emp/mgmt,1,none,yes,good
47,no_checking,36,existing_paid,radio/tv,2299,500<=X<1000,>=7,4,male_single,none,4,car,39,none,own,1,skilled,1,none,yes,good
48,<0,6,existing_paid,used_car,1352,500<=X<1000,unemployed,1,female_div/dep/mar,none,2,life_insurance,23,none,rent,1,unemp/unskilled_non_res,1,yes,yes,good
49,no_checking,11,critical/other_existing_credit,new_car,7228,<100,1<=X<4,1,male_single,none,4,life_insurance,39,none,own,2,unskilled_resident,1,none,yes,good
50,no_checking,12,existing_paid,radio/tv,2073,100<=X<500,1<=X<4,4,female_div/dep/mar,co_applicant,2,real_estate,28,none,own,1,skilled,1,none,yes,good
51,0<=X<200,24,delayed_previously,furniture/equipment,2333,no_known_savings,<1,4,male_single,none,2,life_insurance,29,bank,own,1,unskilled_resident,1,none,yes,good
52,0<=X<200,27,delayed_previously,used_car,5965,<100,>=7,1,male_single,none,2,car,30,none,own,2,high_qualif/self_emp/mgmt,1,yes,yes,good
53,no_checking,12,existing_paid,radio/tv,1262,<100,1<=X<4,3,male_single,none,2,car,25,none,own,1,skilled,1,none,yes,good
54,no_checking,18,existing_paid,used_car,3378,no_known_savings,1<=X<4,2,male_single,none,1,life_insurance,31,none,own,1,skilled,1,yes,yes,good
55,0<=X<200,36,delayed_previously,new_car,2225,<100,>=7,4,male_single,none,4,no_known_property,57,bank,for_free,2,skilled,1,yes,yes,bad
56,no_checking,6,all_paid,new_car,783,no_known_savings,1<=X<4,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled_resident,2,none,yes,good
57,0<=X<200,12,existing_paid,radio/tv,6468,no_known_savings,unemployed,2,male_single,none,1,no_known_property,52,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
58,no_checking,36,critical/other_existing_credit,radio/tv,9566,<100,1<=X<4,2,female_div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,good
59,>=200,18,existing_paid,new_car,1961,<100,>=7,3,female_div/dep/mar,none,2,car,23,none,own,1,high_qualif/self_emp/mgmt,1,none,yes,good
60,<0,36,critical/other_existing_credit,furniture/equipment,6229,<100,<1,4,female_div/dep/mar,co_applicant,4,no_known_property,23,none,rent,2,unskilled_resident,1,yes,yes,bad
61,0<=X<200,9,existing_paid,business,1391,<100,1<=X<4,2,male_mar/wid,none,1,real_estate,27,bank,own,1,skilled,1,yes,yes,good
62,0<=X<200,15,critical/other_existing_credit,radio/tv,1537,no_known_savings,>=7,4,male_single,guarantor,4,real_estate,50,none,own,2,skilled,1,yes,yes,good
63,0<=X<200,36,no_credits/all_paid,business,1953,<100,>=7,4,male_single,none,4,no_known_property,61,none,for_free,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
64,0<=X<200,48,no_credits/all_paid,business,14421,<100,1<=X<4,2,male_single,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
65,no_checking,24,existing_paid,radio/tv,3181,<100,<1,4,female_div/dep/mar,none,4,life_insurance,26,none,own,1,skilled,1,yes,yes,good
66,no_checking,27,existing_paid,repairs,5190,no_known_savings,>=7,4,male_single,none,4,life_insurance,48,none,own,4,skilled,2,yes,yes,good
67,no_checking,12,existing_paid,radio/tv,2171,<100,<1,2,female_div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,good
68,0<=X<200,12,existing_paid,new_car,1007,>=1000,1<=X<4,4,male_mar/wid,none,1,real_estate,22,none,own,1,skilled,1,none,yes,good
69,no_checking,36,existing_paid,education,1819,<100,1<=X<4,4,male_single,none,4,no_known_property,37,stores,for_free,1,skilled,1,yes,yes,bad
70,no_checking,36,existing_paid,radio/tv,2394,no_known_savings,1<=X<4,4,female_div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
71,no_checking,36,existing_paid,used_car,8133,<100,1<=X<4,1,female_div/dep/mar,none,2,life_insurance,30,bank,own,1,skilled,1,none,yes,good
72,no_checking,7,critical/other_existing_credit,radio/tv,730,no_known_savings,>=7,4,male_single,none,2,life_insurance,46,none,rent,2,unskilled_resident,1,yes,yes,good
73,<0,8,critical/other_existing_credit,other,1164,<100,>=7,3,male_single,none,4,no_known_property,51,bank,for_free,2,high_qualif/self_emp/mgmt,2,yes,yes,good
74,0<=X<200,42,critical/other_existing_credit,business,5954,<100,4<=X<7,2,female_div/dep/mar,none,1,real_estate,41,bank,own,2,unskilled_resident,1,none,yes,good
75,<0,36,existing_paid,education,1977,no_known_savings,>=7,4,male_single,none,4,no_known_property,40,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
76,<0,12,critical/other_existing_credit,used_car,1526,<100,>=7,4,male_single,none,4,no_known_property,66,none,for_free,2,high_qualif/self_emp/mgmt,1,none,yes,good
77,<0,42,existing_paid,radio/tv,3965,<100,<1,4,male_single,none,3,car,34,none,own,1,skilled,1,none,yes,bad
78,0<=X<200,11,delayed_previously,radio/tv,4771,<100,4<=X<7,2,male_single,none,4,life_insurance,51,none,own,1,skilled,1,none,yes,good
79,no_checking,54,no_credits/all_paid,used_car,9436,no_known_savings,1<=X<4,2,male_single,none,2,life_insurance,39,none,own,1,unskilled_resident,2,none,yes,good
80,0<=X<200,30,existing_paid,furniture/equipment,3832,<100,<1,2,male_mar/wid,none,1,life_insurance,22,none,own,1,skilled,1,none,yes,good
81,no_checking,24,existing_paid,radio/tv,5943,no_known_savings,<1,1,female_div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,bad
82,no_checking,15,existing_paid,radio/tv,1213,500<=X<1000,>=7,4,male_single,none,3,life_insurance,47,stores,own,1,skilled,1,yes,yes,good
83,no_checking,18,existing_paid,business,1568,100<=X<500,1<=X<4,3,female_div/dep/mar,none,4,life_insurance,24,none,rent,1,unskilled_resident,1,none,yes,good
84,<0,24,existing_paid,other,1755,<100,>=7,4,female_div/dep/mar,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,yes,yes,good
85,<0,10,existing_paid,radio/tv,2315,<100,>=7,3,male_single,none,4,real_estate,52,none,own,1,unskilled_resident,1,none,yes,good
86,no_checking,12,critical/other_existing_credit,business,1412,<100,1<=X<4,4,female_div/dep/mar,guarantor,2,real_estate,29,none,own,2,high_qualif/self_emp/mgmt,1,yes,yes,good
87,0<=X<200,18,critical/other_existing_credit,furniture/equipment,1295,<100,<1,4,female_div/dep/mar,none,1,life_insurance,27,none,own,2,skilled,1,none,yes,good
88,0<=X<200,36,existing_paid,education,12612,100<=X<500,1<=X<4,1,male_single,none,4,no_known_property,47,none,for_free,1,skilled,2,yes,yes,bad
89,<0,18,existing_paid,new_car,2249,100<=X<500,4<=X<7,4,male_single,none,3,car,30,none,own,1,high_qualif/self_emp/mgmt,2,yes,yes,good
90,<0,12,no_credits/all_paid,repairs,1108,<100,4<=X<7,4,male_single,none,3,real_estate,28,none,own,2,skilled,1,none,yes,bad
91,no_checking,12,critical/other_existing_credit,radio/tv,618,<100,>=7,4,male_single,none,4,real_estate,56,none,own,1,skilled,1,none,yes,good
92,<0,12,critical/other_existing_credit,used_car,1409,<100,>=7,4,male_single,none,3,real_estate,54,none,own,1,skilled,1,none,yes,good
93,no_checking,12,critical/other_existing_credit,radio/tv,797,no_known_savings,>=7,4,female_div/dep/mar,none,3,life_insurance,33,bank,own,1,unskilled_resident,2,none,yes,bad
94,>=200,24,critical/other_existing_credit,furniture/equipment,3617,no_known_savings,>=7,4,male_single,co_applicant,4,no_known_property,20,none,rent,2,skilled,1,none,yes,good
95,0<=X<200,12,existing_paid,new_car,1318,>=1000,>=7,4,male_single,none,4,real_estate,54,none,own,1,skilled,1,yes,yes,good
96,0<=X<200,54,no_credits/all_paid,business,15945,<100,<1,3,male_single,none,4,no_known_property,58,none,rent,1,skilled,1,yes,yes,bad
97,no_checking,12,critical/other_existing_credit,education,2012,no_known_savings,4<=X<7,4,female_div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,good
98,0<=X<200,18,existing_paid,business,2622,100<=X<500,1<=X<4,4,male_single,none,4,car,34,none,own,1,skilled,1,none,yes,good
99,0<=X<200,36,critical/other_existing_credit,radio/tv,2337,<100,>=7,4,male_single,none,4,real_estate,36,none,own,1,skilled,1,none,yes,good
100,0<=X<200,20,delayed_previously,used_car,7057,no_known_savings,4<=X<7,3,male_single,none,4,life_insurance,36,bank,rent,2,high_qualif/self_emp/mgmt,2,yes,yes,good
101,no_checking,24,existing_paid,new_car,1469,100<=X<500,>=7,4,male_mar/wid,none,4,real_estate,41,none,rent,1,unskilled_resident,1,none,yes,good
102,0<=X<200,36,existing_paid,radio/tv,2323,<100,4<=X<7,4,male_single,none,4,car,24,none,rent,1,skilled,1,none,yes,good
103,no_checking,6,delayed_previously,radio/tv,932,<100,1<=X<4,3,female_div/dep/mar,none,2,real_estate,24,none,own,1,skilled,1,none,yes,good
104,0<=X<200,9,critical/other_existing_credit,furniture/equipment,1919,<100,4<=X<7,4,male_single,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
105,no_checking,12,existing_paid,used_car,2445,no_known_savings,<1,2,male_mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
106,0<=X<200,24,critical/other_existing_credit,other,11938,<100,1<=X<4,2,male_single,co_applicant,3,car,39,none,own,2,high_qualif/self_emp/mgmt,2,yes,yes,bad
107,no_checking,18,all_paid,new_car,6458,<100,>=7,2,male_single,none,4,no_known_property,39,bank,own,2,high_qualif/self_emp/mgmt,2,yes,yes,bad
108,0<=X<200,12,existing_paid,new_car,6078,<100,4<=X<7,2,male_single,none,2,car,32,none,own,1,skilled,1,none,yes,good
109,<0,24,existing_paid,furniture/equipment,7721,no_known_savings,<1,1,female_div/dep/mar,none,2,life_insurance,30,none,own,1,skilled,1,yes,no,good
110,0<=X<200,14,existing_paid,business,1410,500<=X<1000,>=7,1,male_mar/wid,none,2,real_estate,35,none,own,1,skilled,1,yes,yes,good
111,0<=X<200,6,delayed_previously,business,1449,100<=X<500,>=7,1,male_div/sep,none,2,car,31,bank,own,2,skilled,2,none,yes,good
112,>=200,15,existing_paid,education,392,<100,<1,4,female_div/dep/mar,none,4,life_insurance,23,none,rent,1,skilled,1,yes,yes,good
113,0<=X<200,18,existing_paid,new_car,6260,<100,4<=X<7,3,male_single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,none,yes,good
114,no_checking,36,critical/other_existing_credit,new_car,7855,<100,1<=X<4,4,female_div/dep/mar,none,2,real_estate,25,stores,own,2,skilled,1,yes,yes,bad
115,<0,12,existing_paid,radio/tv,1680,500<=X<1000,>=7,3,male_mar/wid,none,1,real_estate,35,none,own,1,skilled,1,none,yes,good
116,no_checking,48,critical/other_existing_credit,radio/tv,3578,no_known_savings,>=7,4,male_single,none,1,real_estate,47,none,own,1,skilled,1,yes,yes,good
117,<0,42,existing_paid,radio/tv,7174,no_known_savings,4<=X<7,4,female_div/dep/mar,none,3,car,30,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
118,<0,10,critical/other_existing_credit,furniture/equipment,2132,no_known_savings,<1,2,female_div/dep/mar,co_applicant,3,real_estate,27,none,rent,2,skilled,1,none,no,good
119,<0,33,critical/other_existing_credit,furniture/equipment,4281,500<=X<1000,1<=X<4,1,female_div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,bad
120,0<=X<200,12,critical/other_existing_credit,new_car,2366,500<=X<1000,4<=X<7,3,male_div/sep,none,3,car,36,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,good
121,<0,21,existing_paid,radio/tv,1835,<100,1<=X<4,3,female_div/dep/mar,none,2,real_estate,25,none,own,2,skilled,1,yes,yes,bad
122,no_checking,24,critical/other_existing_credit,used_car,3868,<100,>=7,4,female_div/dep/mar,none,2,car,41,none,rent,2,high_qualif/self_emp/mgmt,1,yes,yes,good
123,no_checking,12,existing_paid,furniture/equipment,1768,<100,1<=X<4,3,male_single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,none,yes,good
124,>=200,10,critical/other_existing_credit,new_car,781,<100,>=7,4,male_single,none,4,no_known_property,63,none,for_free,2,skilled,1,yes,yes,good
125,0<=X<200,18,existing_paid,furniture/equipment,1924,no_known_savings,<1,4,female_div/dep/mar,none,3,real_estate,27,none,rent,1,skilled,1,none,yes,bad
126,<0,12,critical/other_existing_credit,new_car,2121,<100,1<=X<4,4,male_single,none,2,life_insurance,30,none,own,2,skilled,1,none,yes,good
127,<0,12,existing_paid,radio/tv,701,<100,1<=X<4,4,male_mar/wid,none,2,real_estate,40,none,own,1,unskilled_resident,1,none,yes,good
128,0<=X<200,12,existing_paid,repairs,639,<100,1<=X<4,4,male_single,none,2,car,30,none,own,1,skilled,1,none,yes,bad
129,0<=X<200,12,critical/other_existing_credit,used_car,1860,<100,unemployed,4,male_single,none,2,car,34,none,own,2,high_qualif/self_emp/mgmt,1,yes,yes,good
130,<0,12,critical/other_existing_credit,new_car,3499,<100,1<=X<4,3,female_div/dep/mar,co_applicant,2,real_estate,29,none,own,2,skilled,1,none,yes,bad
131,0<=X<200,48,existing_paid,new_car,8487,no_known_savings,4<=X<7,1,female_div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes,good
132,<0,36,delayed_previously,education,6887,<100,1<=X<4,4,male_single,none,3,life_insurance,29,stores,own,1,skilled,1,yes,yes,bad
133,no_checking,15,existing_paid,furniture/equipment,2708,<100,<1,2,male_single,none,3,life_insurance,27,bank,own,2,unskilled_resident,1,none,yes,good
134,no_checking,18,existing_paid,furniture/equipment,1984,<100,1<=X<4,4,male_single,none,4,no_known_property,47,bank,for_free,2,skilled,1,none,yes,good
135,no_checking,60,existing_paid,radio/tv,10144,100<=X<500,4<=X<7,2,female_div/dep/mar,none,4,real_estate,21,none,own,1,skilled,1,yes,yes,good
136,no_checking,12,critical/other_existing_credit,radio/tv,1240,no_known_savings,>=7,4,female_div/dep/mar,none,2,real_estate,38,none,own,2,skilled,1,yes,yes,good
137,no_checking,27,delayed_previously,used_car,8613,>=1000,1<=X<4,2,male_single,none,2,car,27,none,own,2,skilled,1,none,yes,good
138,0<=X<200,12,existing_paid,radio/tv,766,500<=X<1000,1<=X<4,4,male_single,none,3,real_estate,66,none,own,1,unskilled_resident,1,none,yes,bad
139,0<=X<200,15,critical/other_existing_credit,radio/tv,2728,no_known_savings,4<=X<7,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled,1,yes,yes,good
140,>=200,12,existing_paid,radio/tv,1881,<100,1<=X<4,2,female_div/dep/mar,none,2,car,44,none,rent,1,unskilled_resident,1,yes,yes,good
141,>=200,6,existing_paid,new_car,709,>=1000,<1,2,male_mar/wid,none,2,real_estate,27,none,own,1,unemp/unskilled_non_res,1,none,no,good
142,0<=X<200,36,existing_paid,radio/tv,4795,<100,<1,4,female_div/dep/mar,none,1,no_known_property,30,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,good
143,<0,27,existing_paid,radio/tv,3416,<100,1<=X<4,3,male_single,none,2,car,27,none,own,1,high_qualif/self_emp/mgmt,1,none,yes,good
144,<0,18,existing_paid,furniture/equipment,2462,<100,1<=X<4,2,male_single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
145,no_checking,21,critical/other_existing_credit,furniture/equipment,2288,<100,<1,4,female_div/dep/mar,none,4,life_insurance,23,none,own,1,skilled,1,yes,yes,good
146,0<=X<200,48,all_paid,business,3566,100<=X<500,4<=X<7,4,male_single,none,2,car,30,none,own,1,skilled,1,none,yes,good
147,<0,6,critical/other_existing_credit,new_car,860,<100,>=7,1,female_div/dep/mar,none,4,no_known_property,39,none,own,2,skilled,1,yes,yes,good
148,no_checking,12,critical/other_existing_credit,new_car,682,100<=X<500,4<=X<7,4,female_div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,good
149,<0,36,critical/other_existing_credit,furniture/equipment,5371,<100,1<=X<4,3,male_single,guarantor,2,life_insurance,28,none,own,2,skilled,1,none,yes,good
150,no_checking,18,critical/other_existing_credit,radio/tv,1582,>=1000,>=7,4,male_single,none,4,car,46,none,own,2,skilled,1,none,yes,good
151,no_checking,6,existing_paid,radio/tv,1346,100<=X<500,>=7,2,male_single,none,4,no_known_property,42,bank,for_free,1,skilled,2,yes,yes,good
152,no_checking,10,existing_paid,radio/tv,1924,<100,1<=X<4,1,male_single,none,4,life_insurance,38,none,own,1,skilled,1,yes,no,good
153,>=200,36,existing_paid,radio/tv,5848,<100,1<=X<4,4,male_single,none,1,car,24,none,own,1,skilled,1,none,yes,good
154,0<=X<200,24,critical/other_existing_credit,used_car,7758,>=1000,>=7,2,female_div/dep/mar,none,4,no_known_property,29,none,rent,1,skilled,1,none,yes,good
155,0<=X<200,24,delayed_previously,business,6967,100<=X<500,4<=X<7,4,male_single,none,4,car,36,none,rent,1,high_qualif/self_emp/mgmt,1,yes,yes,good
156,<0,12,existing_paid,furniture/equipment,1282,<100,1<=X<4,2,female_div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,bad
157,<0,9,critical/other_existing_credit,repairs,1288,100<=X<500,>=7,3,male_single,guarantor,4,real_estate,48,none,own,2,skilled,2,none,no,good
158,<0,12,all_paid,retraining,339,<100,>=7,4,male_mar/wid,none,1,car,45,bank,own,1,unskilled_resident,1,none,yes,good
159,0<=X<200,24,existing_paid,new_car,3512,100<=X<500,4<=X<7,2,male_single,none,3,car,38,bank,own,2,skilled,1,yes,yes,good
160,no_checking,6,critical/other_existing_credit,radio/tv,1898,no_known_savings,1<=X<4,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,2,none,yes,good
161,no_checking,24,critical/other_existing_credit,radio/tv,2872,100<=X<500,>=7,3,male_single,none,4,real_estate,36,none,own,1,skilled,2,yes,yes,good
162,no_checking,18,critical/other_existing_credit,new_car,1055,<100,<1,4,female_div/dep/mar,none,1,life_insurance,30,none,own,2,skilled,1,none,yes,good
163,no_checking,15,existing_paid,domestic_appliance,1262,500<=X<1000,4<=X<7,4,male_single,none,3,life_insurance,36,none,own,2,skilled,1,yes,yes,good
164,0<=X<200,10,existing_paid,new_car,7308,<100,unemployed,2,male_single,none,4,no_known_property,70,bank,for_free,1,high_qualif/self_emp/mgmt,1,yes,yes,good
165,no_checking,36,existing_paid,new_car,909,500<=X<1000,>=7,4,male_single,none,4,life_insurance,36,none,own,1,skilled,1,none,yes,good
166,no_checking,6,existing_paid,furniture/equipment,2978,500<=X<1000,1<=X<4,1,male_single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
167,<0,18,existing_paid,furniture/equipment,1131,<100,unemployed,4,female_div/dep/mar,none,2,car,33,none,own,1,skilled,1,none,yes,bad
168,0<=X<200,11,existing_paid,furniture/equipment,1577,>=1000,<1,4,female_div/dep/mar,none,1,real_estate,20,none,own,1,skilled,1,none,yes,good
169,no_checking,24,existing_paid,furniture/equipment,3972,<100,4<=X<7,2,female_div/dep/mar,none,4,life_insurance,25,none,rent,1,skilled,1,yes,yes,good
170,0<=X<200,24,critical/other_existing_credit,business,1935,<100,>=7,4,male_div/sep,none,4,real_estate,31,none,own,2,skilled,1,yes,yes,bad
171,<0,15,no_credits/all_paid,new_car,950,<100,>=7,4,male_single,none,3,car,33,none,rent,2,skilled,2,none,yes,bad
172,no_checking,12,existing_paid,furniture/equipment,763,<100,1<=X<4,4,female_div/dep/mar,none,1,real_estate,26,none,own,1,skilled,1,yes,yes,good
173,0<=X<200,24,delayed_previously,furniture/equipment,2064,<100,unemployed,3,female_div/dep/mar,none,2,life_insurance,34,none,own,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
174,0<=X<200,8,existing_paid,radio/tv,1414,<100,1<=X<4,4,male_single,guarantor,2,real_estate,33,none,own,1,skilled,1,none,no,good
175,<0,21,delayed_previously,education,3414,<100,<1,2,male_single,none,1,life_insurance,26,none,own,2,skilled,1,none,yes,bad
176,no_checking,30,all_paid,used_car,7485,no_known_savings,unemployed,4,female_div/dep/mar,none,1,real_estate,53,bank,own,1,high_qualif/self_emp/mgmt,1,yes,yes,bad
177,<0,12,existing_paid,furniture/equipment,2577,<100,1<=X<4,2,male_div/sep,none,1,car,42,none,own,1,skilled,1,none,yes,good
178,<0,6,critical/other_existing_credit,radio/tv,338,500<=X<1000,>=7,4,male_single,none,4,car,52,none,own,2,skilled,1,none,yes,good
179,no_checking,12,existing_paid,radio/tv,1963,<100,4<=X<7,4,male_single,none,2,car,31,none,rent,2,high_qualif/self_emp/mgmt,2,yes,yes,good
